era,trigger,eta_r9_bin,pt_lo,pt_hi,eff_cms,err_hi_cms,err_lo_cms,status_pass_cms,status_fail_cms,eff_exp,err_hi_exp,err_lo_exp,status_pass_exp,status_fail_exp,bkg_syst,total_unc_hi,total_unc_lo
postBpix,unseed,EB_R9_0p55to0p85,25.0,28.0,0.9986,0.001,0.0011,0,0,0.9991,0.0009,0.001,4,0,0.0005,0.001136,0.001234
postBpix,unseed,EB_R9_0p55to0p85,28.0,31.0,0.9994,0.0006,0.001,4,0,0.9994,0.0006,0.001,0,0,0.0,0.00059,0.001
postBpix,unseed,EB_R9_0p55to0p85,31.0,35.0,0.9995,0.0005,0.001,0,0,0.9993,0.0007,0.001,0,0,0.0002,0.00047,0.001018
postBpix,unseed,EB_R9_0p55to0p85,35.0,40.0,0.9998,0.0002,0.001,4,0,0.9998,0.0002,0.001,0,0,0.0,0.00025,0.001
postBpix,unseed,EB_R9_0p55to0p85,40.0,45.0,0.9999,0.0001,0.001,0,0,0.9999,0.0001,0.001,0,0,0.0,0.00014,0.001
postBpix,unseed,EB_R9_0p55to0p85,45.0,50.0,0.9999,0.0001,0.001,4,4,0.9999,0.0001,0.001,0,0,0.0,0.00011,0.001
postBpix,unseed,EB_R9_0p55to0p85,50.0,60.0,0.9998,0.0002,0.001,0,0,0.9998,0.0002,0.001,0,4,0.0,0.00018,0.001
postBpix,unseed,EB_R9_0p55to0p85,60.0,70.0,0.9998,0.0002,0.001,4,0,0.9999,0.0001,0.001,4,0,0.0001,0.00023,0.001011
postBpix,unseed,EB_R9_0p55to0p85,70.0,90.0,1.0,0.0,0.001,4,0,0.9996,0.0004,0.001,0,0,0.0004,5e-05,0.001077
postBpix,unseed,EB_R9_0p55to0p85,90.0,999999.0,0.9991,0.0009,0.001,4,0,0.9991,0.0009,0.001,0,0,0.0,0.00091,0.001
postBpix,unseed,EB_R9gt0p85,0.0,21.0,0.9898,0.0018,0.0018,0,0,0.9898,0.001,0.001,4,0,0.0,0.00176,0.00176
postBpix,unseed,EB_R9gt0p85,21.0,25.0,0.9965,0.001,0.001,0,0,0.9985,0.001,0.001,4,4,0.002,0.002263,0.002263
postBpix,unseed,EB_R9gt0p85,25.0,28.0,0.9986,0.001,0.001,4,4,0.9995,0.0005,0.001,0,0,0.0009,0.001352,0.001352
postBpix,unseed,EB_R9gt0p85,28.0,31.0,0.9989,0.001,0.001,0,4,0.9994,0.0006,0.001,0,4,0.0005,0.001109,0.001109
postBpix,unseed,EB_R9gt0p85,31.0,35.0,0.9997,0.0003,0.001,0,0,0.9995,0.0005,0.001,0,0,0.0002,0.00033,0.00102
postBpix,unseed,EB_R9gt0p85,35.0,40.0,0.9999,0.0001,0.001,0,0,0.9998,0.0002,0.001,4,0,0.0001,0.00015,0.001005
